StartTime,EndTime,Duration_s,StartTime_datenum,EndTime_datenum,LargeConc_cc,SmallConc_cc,MeanDiameter_um,AverageLWC_g_m3
20-Jun-2021 22:03:03,20-Jun-2021 22:03:15,13,738327.918784722,738327.918923611,88.4738895698236,1047.32596892577,7.74284355457012,0.641269181783383
20-Jun-2021 22:03:22,20-Jun-2021 22:03:26,5,738327.91900463,738327.919050926,95.2278828322887,779.009102249146,8.37519302368164,0.597616720199585
20-Jun-2021 22:04:45,20-Jun-2021 22:04:52,8,738327.919965278,738327.920046296,96.6765377640259,332.883299469948,9.55922269821167,0.449343445710838
20-Jun-2021 22:10:44,20-Jun-2021 22:10:47,4,738327.92412037,738327.924155093,69.7520915954374,371.792018532753,8.49344897270203,0.353408604860306
20-Jun-2021 22:10:49,20-Jun-2021 22:10:51,3,738327.924178241,738327.924201389,151.727507402499,713.039867401123,8.61725314458211,0.780046502749125
20-Jun-2021 22:11:40,20-Jun-2021 22:11:42,3,738327.924768519,738327.924791667,56.784888730074,567.015188217163,7.99182399113973,0.38097837070624
20-Jun-2021 22:26:24,20-Jun-2021 22:26:46,23,738327.935,738327.93525463,117.709752766334,749.063984373341,9.01375040800675,0.670877803602944
20-Jun-2021 22:26:49,20-Jun-2021 22:26:51,3,738327.935289352,738327.9353125,94.0022810809314,677.030448595683,8.69450251261393,0.581699897845586
20-Jun-2021 22:51:32,20-Jun-2021 22:51:48,17,738327.952453704,738327.952638889,66.7677242605783,860.705839493695,7.08766272488762,0.485546129591325
20-Jun-2021 22:51:53,20-Jun-2021 22:51:57,5,738327.952696759,738327.952743056,167.680406264588,780.607657718659,8.13624877929687,0.888426828384399
20-Jun-2021 22:52:00,20-Jun-2021 22:52:25,26,738327.952777778,738327.95306713,340.39495816483,1044.57113097264,9.9971657532912,1.7298625432528
20-Jun-2021 23:22:04,20-Jun-2021 23:22:16,13,738327.973657407,738327.973796296,51.0342997129147,1080.38323805882,7.2868841611422,0.510332913926015
20-Jun-2021 23:22:38,20-Jun-2021 23:22:40,3,738327.974050926,738327.974074074,60.9662316044172,625.137630462647,7.93562904993693,0.417931854724884
20-Jun-2021 23:59:55,21-Jun-2021 00:00:03,9,738327.99994213,738328.000034722,193.808514515973,952.477989435196,8.77655283610026,1.0094449205531
21-Jun-2021 00:00:17,21-Jun-2021 00:00:24,8,738328.000196759,738328.000277778,233.703484615777,663.151850253344,10.5050134658813,1.16781571134925
21-Jun-2021 00:04:20,21-Jun-2021 00:04:23,4,738328.003009259,738328.003043982,83.5163209573366,357.408442497253,9.00501680374146,0.405278127640486
21-Jun-2021 00:05:42,21-Jun-2021 00:05:44,3,738328.003958333,738328.003981482,51.1459750036398,118.699178894361,10.8393456141154,0.217188986639182
21-Jun-2021 00:06:47,21-Jun-2021 00:06:53,7,738328.004710648,738328.004780093,172.338333221951,602.043229034969,9.92874922071185,0.841121996087687
21-Jun-2021 00:06:55,21-Jun-2021 00:06:57,3,738328.004803241,738328.004826389,122.572446120282,480.429916858673,9.21332359313965,0.591401884953181
21-Jun-2021 00:07:02,21-Jun-2021 00:07:05,4,738328.004884259,738328.004918981,51.9815653944388,182.054382443428,9.46287083625793,0.239641901105642
21-Jun-2021 00:07:31,21-Jun-2021 00:07:33,3,738328.005219907,738328.005243056,149.23179838496,842.218430836995,8.2938125928243,0.798436224460602
21-Jun-2021 00:07:36,21-Jun-2021 00:07:41,6,738328.005277778,738328.005335648,66.6539726005867,451.46821808815,8.14651918411255,0.377135274310907
21-Jun-2021 00:07:51,21-Jun-2021 00:07:53,3,738328.005451389,738328.005474537,59.952410346518,255.103227456411,9.57101774215698,0.301334788401922
21-Jun-2021 00:08:53,21-Jun-2021 00:09:01,9,738328.006168981,738328.006261574,110.062228797211,369.990347464879,10.1978940963745,0.534202796717485
21-Jun-2021 01:34:09,21-Jun-2021 01:34:13,5,738328.065381944,738328.065428241,64.4585339244455,878.110358047485,7.82277898788452,0.505433249473572
21-Jun-2021 01:34:18,21-Jun-2021 01:34:21,4,738328.065486111,738328.065520833,81.0888024480082,901.592458248138,7.96439778804779,0.576697513461113
21-Jun-2021 01:34:24,21-Jun-2021 01:34:27,4,738328.065555556,738328.065590278,58.308967910707,632.737990140915,8.02383363246918,0.412256561219692
21-Jun-2021 01:34:41,21-Jun-2021 01:34:43,3,738328.065752315,738328.065775463,81.7598684293528,617.359517733256,8.7515754699707,0.512079060077667
21-Jun-2021 01:34:45,21-Jun-2021 01:34:49,5,738328.065798611,738328.065844907,75.5464413717389,784.703251838684,8.00929393768311,0.521037554740906
21-Jun-2021 01:35:09,21-Jun-2021 01:35:20,12,738328.066076389,738328.066203704,66.7743753904166,940.005601882935,7.77417997519175,0.536320927242438
21-Jun-2021 01:35:45,21-Jun-2021 01:35:50,6,738328.066493056,738328.066550926,91.2205196494857,779.611781438192,8.32433048884074,0.588280747334162
21-Jun-2021 01:36:21,21-Jun-2021 01:36:58,38,738328.066909722,738328.067337963,105.876980599996,1268.06218322955,7.76351190868177,0.763682407572081
21-Jun-2021 01:37:18,21-Jun-2021 01:37:26,9,738328.067569444,738328.067662037,64.0533825695101,1035.26276026832,7.54889975653754,0.543363124959999
21-Jun-2021 01:37:36,21-Jun-2021 01:37:38,3,738328.067777778,738328.067800926,77.155029155314,1147.46058527629,7.49078289667765,0.622944017251333
21-Jun-2021 01:41:54,21-Jun-2021 01:42:02,9,738328.070763889,738328.070856481,122.130647053114,871.646136495802,8.54124789767795,0.721332573228412
